Loci	PHYPA	ORYSJ	MAIZE	Anc5	SOLTU	MEDTR	ARATH	Anc4	Anc3	Anc2	Anc1
AT4G24990	-2	1	0	1	-1	-1	3	3	3	0	0
AT1G77870	-2	-2	1	1	-2	3	0	3	3	0	0
OG702_1	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	0
AT4G33000	-2	-2	-2	-2	-1	3	0	0	0	0	0
OG708_1	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	0
OG708_2	-2	-2	-2	-2	0	-2	-2	-2	0	0	0
AT3G51370	-2	-1	0	0	0	0	0	0	0	0	0
AT5G66080	-2	-2	0	0	0	0	-1	0	0	0	0
OG712_3	-2	-2	-2	-2	-1	-1	-2	0	0	0	0
OG715_1	-2	5	6	5	-2	-2	-2	-2	0	0	0
AT1G65570	-2	-2	-2	-2	0	-2	3	3	0	0	0
AT2G43890	-2	-2	-2	-2	-1	-2	-1	0	0	0	0
AT1G05650	-2	-2	-2	-2	-2	-2	0	0	0	0	0
AT1G05660	-2	-2	-2	-2	-2	-2	0	0	0	0	0
AT3G51480	-1	-2	-2	-2	-2	-1	-1	0	0	0	0
AT2G32390	0	-2	-2	-2	-1	0	-1	0	0	0	0
AT1G05200	-2	-2	-2	-2	0	-2	0	0	0	0	0
OG722_1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	0
AT2G46600	-2	-2	-2	-2	-1	-1	0	0	3	0	0
OG725_1	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	0
OG725_2	-2	-2	-2	-2	0	-2	-2	-2	0	0	0
OG725_3	-2	-2	-2	-2	-1	-2	-2	-2	0	0	0
OG725_4	-2	-2	-2	-2	0	-2	-2	-2	0	0	0
OG725_5	-2	-2	-2	-2	-1	-2	-2	-2	0	0	0
OG737_1	0	-1	0	0	3	-2	-2	-2	3	0	0
OG737_2	-1	-1	-1	0	-2	-2	-2	-2	-2	0	0
AT3G27770	-2	-2	0	0	-1	-1	0	3	0	0	0
OG737_4	-2	-2	-2	-2	-2	3	-2	3	0	0	0
OG752_1	-2	-2	-2	-2	0	-2	-2	-2	0	0	0
AT1G23890	1	-1	0	3	3	-1	3	3	3	3	0
AT3G14860	-2	-2	-2	-2	-1	-1	-1	0	0	0	0
OG760_3	-2	0	-2	0	-2	0	-2	0	0	0	0
AT1G70280	-2	0	0	0	-1	0	0	0	0	0	0
AT1G23880	-2	-2	0	0	-2	0	0	0	0	0	0
OG762_1	-2	-2	1	1	-2	-2	-2	-2	-2	3	0
